Id,Rule Name,Product,Severity,Status,Dependency,Version,Reachability,Transitivity,Cve,Epss,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
787196516,Cross-Site Request Forgery (CSRF) in werkzeug,Supply Chain,High,Open,werkzeug,0.14.1,Conditionally Reachable,Unknown,CVE-2024-34069,38.93% (Medium),,local_scan/modern-software-dev-assignments/week6,https://github.com/hashjenny/modern-software-dev-assignments,https://github.com/hashjenny/modern-software-dev-assignments/blob/d58707af1529e326f5eff594d1f07e0b44f56e7b/week6/requirements.txt#L9,https://semgrep.dev/orgs/huangxudong717_personal_org/supply-chain/findings/787196516,2026-05-12 02:09:45.021397,2026-05-12 02:09:45.008027,refs/heads/master,,,,"Affected versions of Werkzeug are vulnerable to Cross-Site Request Forgery (CSRF). Exploitation requires the attacker to guess a URL in the developer's application that will trigger the debugger AND requires the attacker to get the developer to interact with a domain and subdomain they control, and enter the debugger PIN."
787196514,Uncontrolled Resource Consumption in jinja2,Supply Chain,Medium,Open,jinja2,2.10.1,No Reachability Analysis,Unknown,CVE-2020-28493,0.21% (Low),,local_scan/modern-software-dev-assignments/week6,https://github.com/hashjenny/modern-software-dev-assignments,https://github.com/hashjenny/modern-software-dev-assignments/blob/d58707af1529e326f5eff594d1f07e0b44f56e7b/week6/requirements.txt#L7,https://semgrep.dev/orgs/huangxudong717_personal_org/supply-chain/findings/787196514,2026-05-12 02:09:45.021363,2026-05-12 02:09:45.008005,refs/heads/master,,,,Affected versions of Jinja2 are vulnerable to Uncontrolled Resource Consumption.
787196513,Infinite Loop in pydantic,Supply Chain,Medium,Open,pydantic,1.5.1,No Reachability Analysis,Unknown,CVE-2021-29510,0.07% (Low),,local_scan/modern-software-dev-assignments/week6,https://github.com/hashjenny/modern-software-dev-assignments,https://github.com/hashjenny/modern-software-dev-assignments/blob/d58707af1529e326f5eff594d1f07e0b44f56e7b/week6/requirements.txt#L4,https://semgrep.dev/orgs/huangxudong717_personal_org/supply-chain/findings/787196513,2026-05-12 02:09:45.021346,2026-05-12 02:09:45.007994,refs/heads/master,,,,Affected versions of pydantic are vulnerable to Loop with Unreachable Exit Condition ('Infinite Loop').
787196512,Exposure of Sensitive Information to an Unauthorized Actor in requests,Supply Chain,Medium,Open,requests,2.19.1,No Reachability Analysis,Unknown,CVE-2023-32681,6.12% (Low),,local_scan/modern-software-dev-assignments/week6,https://github.com/hashjenny/modern-software-dev-assignments,https://github.com/hashjenny/modern-software-dev-assignments/blob/d58707af1529e326f5eff594d1f07e0b44f56e7b/week6/requirements.txt#L5,https://semgrep.dev/orgs/huangxudong717_personal_org/supply-chain/findings/787196512,2026-05-12 02:09:45.021329,2026-05-12 02:09:45.007984,refs/heads/master,,,,Affected versions of requests are vulnerable to Exposure of Sensitive Information to an Unauthorized Actor.
787196511,Cross-site Scripting in jinja2,Supply Chain,Medium,Open,jinja2,2.10.1,No Reachability Analysis,Unknown,CVE-2024-22195,0.15% (Low),,local_scan/modern-software-dev-assignments/week6,https://github.com/hashjenny/modern-software-dev-assignments,https://github.com/hashjenny/modern-software-dev-assignments/blob/d58707af1529e326f5eff594d1f07e0b44f56e7b/week6/requirements.txt#L7,https://semgrep.dev/orgs/huangxudong717_personal_org/supply-chain/findings/787196511,2026-05-12 02:09:45.021312,2026-05-12 02:09:45.007973,refs/heads/master,,,,Affected versions of jinja2 are vulnerable to Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting').
787196510,Inefficient Regular Expression Complexity in pydantic,Supply Chain,Medium,Open,pydantic,1.5.1,No Reachability Analysis,Unknown,CVE-2024-3772,0.28% (Low),,local_scan/modern-software-dev-assignments/week6,https://github.com/hashjenny/modern-software-dev-assignments,https://github.com/hashjenny/modern-software-dev-assignments/blob/d58707af1529e326f5eff594d1f07e0b44f56e7b/week6/requirements.txt#L4,https://semgrep.dev/orgs/huangxudong717_personal_org/supply-chain/findings/787196510,2026-05-12 02:09:45.021295,2026-05-12 02:09:45.007962,refs/heads/master,,,,Affected versions of pydantic are vulnerable to Inefficient Regular Expression Complexity.
787196509,Cross-site Scripting in jinja2,Supply Chain,Medium,Open,jinja2,2.10.1,No Reachability Analysis,Unknown,CVE-2024-34064,1.15% (Low),,local_scan/modern-software-dev-assignments/week6,https://github.com/hashjenny/modern-software-dev-assignments,https://github.com/hashjenny/modern-software-dev-assignments/blob/d58707af1529e326f5eff594d1f07e0b44f56e7b/week6/requirements.txt#L7,https://semgrep.dev/orgs/huangxudong717_personal_org/supply-chain/findings/787196509,2026-05-12 02:09:45.021278,2026-05-12 02:09:45.007951,refs/heads/master,,,,Affected versions of Jinja2 are vulnerable to Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting').
787196508,Always-Incorrect Control Flow Implementation in requests,Supply Chain,Medium,Open,requests,2.19.1,No Reachability Analysis,Unknown,CVE-2024-35195,0.05% (Low),,local_scan/modern-software-dev-assignments/week6,https://github.com/hashjenny/modern-software-dev-assignments,https://github.com/hashjenny/modern-software-dev-assignments/blob/d58707af1529e326f5eff594d1f07e0b44f56e7b/week6/requirements.txt#L5,https://semgrep.dev/orgs/huangxudong717_personal_org/supply-chain/findings/787196508,2026-05-12 02:09:45.021261,2026-05-12 02:09:45.007940,refs/heads/master,,,,Affected versions of requests are vulnerable to Always-Incorrect Control Flow Implementation.
787196507,Path Traversal in werkzeug,Supply Chain,Medium,Open,werkzeug,0.14.1,No Reachability Analysis,Unknown,CVE-2024-49766,1.39% (Low),,local_scan/modern-software-dev-assignments/week6,https://github.com/hashjenny/modern-software-dev-assignments,https://github.com/hashjenny/modern-software-dev-assignments/blob/d58707af1529e326f5eff594d1f07e0b44f56e7b/week6/requirements.txt#L9,https://semgrep.dev/orgs/huangxudong717_personal_org/supply-chain/findings/787196507,2026-05-12 02:09:45.021244,2026-05-12 02:09:45.007929,refs/heads/master,,,,Affected versions of Werkzeug are vulnerable to Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal').
787196506,Uncontrolled Resource Consumption in quart,Supply Chain,Medium,Open,werkzeug,0.14.1,No Reachability Analysis,Unknown,CVE-2024-49767,1.09% (Low),,local_scan/modern-software-dev-assignments/week6,https://github.com/hashjenny/modern-software-dev-assignments,https://github.com/hashjenny/modern-software-dev-assignments/blob/d58707af1529e326f5eff594d1f07e0b44f56e7b/week6/requirements.txt#L9,https://semgrep.dev/orgs/huangxudong717_personal_org/supply-chain/findings/787196506,2026-05-12 02:09:45.021227,2026-05-12 02:09:45.007917,refs/heads/master,,,,Affected versions of Quart and Werkzeug are vulnerable to Uncontrolled Resource Consumption.
